LSOA,NAME,AVERAGE_CRIME,POPULATION,RATE_per_1000
E01000001,City of London 001A,224,1480,151.35
E01000002,City of London 001B,224,1451,154.38
E01000003,City of London 001C,224,1612,138.96
E01000005,City of London 001E,224,1728,129.63
E01000006,Barking and Dagenham 016A,33.5,2066,16.21
E01000007,Barking and Dagenham 015A,126.5,2496,50.68
E01000008,Barking and Dagenham 015B,55.5,1634,33.97
E01000009,Barking and Dagenham 016B,83.5,1944,42.95
E01000010,Barking and Dagenham 015C,281.5,3466,81.22
E01000011,Barking and Dagenham 016C,43,1754,24.52
E01000012,Barking and Dagenham 015D,55,2348,23.42
E01000013,Barking and Dagenham 013A,76.5,1867,40.97
E01000014,Barking and Dagenham 013B,51.5,1670,30.84
E01000015,Barking and Dagenham 009A,41.5,2382,17.42
E01000016,Barking and Dagenham 009B,32.5,1730,18.79
E01000017,Barking and Dagenham 009C,37.5,1579,23.75
E01000018,Barking and Dagenham 009D,55,1741,31.59
E01000019,Barking and Dagenham 023A,24,1553,15.45
E01000020,Barking and Dagenham 023B,39.5,1930,20.47
E01000021,Barking and Dagenham 008A,52.5,1728,30.38
E01000022,Barking and Dagenham 008B,36.5,1450,25.17
E01000023,Barking and Dagenham 008C,102.5,3674,27.9
E01000024,Barking and Dagenham 008D,24.5,1524,16.08
E01000025,Barking and Dagenham 008E,33.5,1662,20.16
E01000027,Barking and Dagenham 001A,69.5,1870,37.17
E01000028,Barking and Dagenham 001B,47,1724,27.26
E01000029,Barking and Dagenham 001C,25,1750,14.29
E01000030,Barking and Dagenham 001D,85.5,2376,35.98
E01000031,Barking and Dagenham 002A,48,1782,26.94
E01000032,Barking and Dagenham 002B,51.5,1810,28.45
E01000033,Barking and Dagenham 006A,34,1600,21.25
E01000034,Barking and Dagenham 003A,35.5,1602,22.16
E01000035,Barking and Dagenham 010A,81.5,1825,44.66
E01000036,Barking and Dagenham 010B,44,1489,29.55
E01000037,Barking and Dagenham 003B,38.5,1914,20.11
E01000038,Barking and Dagenham 003C,21.5,1429,15.05
E01000039,Barking and Dagenham 003D,20,1641,12.19
E01000040,Barking and Dagenham 019A,53.5,1788,29.92
E01000041,Barking and Dagenham 017A,31,1808,17.15
E01000042,Barking and Dagenham 017B,37.5,2045,18.34
E01000043,Barking and Dagenham 019B,37.5,1546,24.26
E01000044,Barking and Dagenham 016D,41,2038,20.12
E01000045,Barking and Dagenham 017C,60,1814,33.08
E01000046,Barking and Dagenham 017D,23.5,1964,11.97
E01000048,Barking and Dagenham 021B,27.5,1280,21.48
E01000049,Barking and Dagenham 021C,41.5,1918,21.64
E01000050,Barking and Dagenham 019C,50,1937,25.81
E01000051,Barking and Dagenham 021D,9,832,10.82
E01000052,Barking and Dagenham 019D,50.5,2225,22.7
E01000053,Barking and Dagenham 020A,41,1637,25.05
E01000054,Barking and Dagenham 018A,44,1925,22.86
E01000055,Barking and Dagenham 018B,54.5,1713,31.82
E01000056,Barking and Dagenham 018C,71,1681,42.24
E01000057,Barking and Dagenham 012A,39,1545,25.24
E01000058,Barking and Dagenham 018D,43,2000,21.5
E01000059,Barking and Dagenham 013C,31,1701,18.22
E01000060,Barking and Dagenham 006B,70.5,2087,33.78
E01000061,Barking and Dagenham 006C,92,1882,48.88
E01000062,Barking and Dagenham 006D,54,2357,22.91
E01000063,Barking and Dagenham 004A,35.5,1841,19.28
E01000064,Barking and Dagenham 006E,64.5,2197,29.36
E01000065,Barking and Dagenham 007A,46,1726,26.65
E01000066,Barking and Dagenham 011A,25,2269,11.02
E01000067,Barking and Dagenham 011B,38.5,2201,17.49
E01000068,Barking and Dagenham 016E,35.5,1529,23.22
E01000069,Barking and Dagenham 011C,31,1990,15.58
E01000070,Barking and Dagenham 011D,56.5,2133,26.49
E01000071,Barking and Dagenham 011E,46,2697,17.06
E01000072,Barking and Dagenham 017E,84,2158,38.92
E01000073,Barking and Dagenham 012B,33.5,1788,18.74
E01000074,Barking and Dagenham 012C,34,1617,21.03
E01000075,Barking and Dagenham 012D,44.5,1852,24.03
