LSOA,Pop_Estimate_2013,Age_0_15,Age_16_23,Age_30_44,Age_45_64,Age_65_Plus,Working_Age,Households_with_people_2011,Dependent_Children,No_Dependent_Children,Lone_Parent,One_Person,Multi_Person,White,Mixed,Asian,Black,Other,BAME,UK_Born,Not_UK_Born,HH_English_Speaking,HH_No_English_Speaking,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other_Religion,No_Religion,Religion_not_stated,Owned_outright,Owned_Mortgage,Social_Rented,Private_Rented,All_Households_2011,Detached_2011,Semi_2011,Terrace_2011,Flat_2011,POP_DEN,AV_HH_SIZE,Median_House_Price_2014,MEAN_INCOME_2013,MEDIAN_INCOME_2013
E01000001,1474,9.57,12.01,24.97,30.8,22.66,67.77,876,7.6,30.6,2.6,51.7,7.4,84.5,3.7,8.7,0.8,2.3,15.5,67.3,32.7,90.3,9.7,43.5,1.4,2.7,3.1,1.2,0,0.2,38.7,9.1,40.5,20.3,4.7,30.1,1012,0,0.2,0.9,98.9,112.9,1.7,720000,105400,66790
E01000002,1455,12.3,9.28,23.64,33.4,21.37,66.32,830,10.4,30.7,2.7,50.4,5.9,88.7,3.8,6.6,0.3,0.6,11.3,73,27,93.3,6.7,45.2,0.9,1.5,1.5,0.3,0.1,0.4,40.4,9.7,37.8,25.7,5.8,26.4,976,0.1,0.1,3.5,96.3,62.9,1.7,836500,107250,67750
E01000003,1357,9.95,14.44,28.22,27.12,20.27,69.79,817,6.2,19.1,6,62.1,6.6,78.4,4.1,12.5,3.3,1.7,21.6,67.5,32.5,90.7,9.3,44.2,1.5,2.2,2.4,4.1,0.5,0.4,34.6,10.1,22.5,17.5,36.1,21.7,887,0,0,0.3,99.7,227.7,1.5,487500,84510,55390
E01000005,1172,15.7,29.78,20.48,21.33,12.71,71.59,467,13.1,14.3,9.4,48.8,14.3,51.4,6,27.8,10.2,4.7,48.6,60.7,39.3,77.9,22.1,41.4,1.1,1,4.1,27.7,0.4,0.5,17.8,6,5.1,4.7,66.8,21.6,528,0.2,0.2,0,99.6,52,2.1,414500,71840,47840
E01000006,1714,24.27,22.58,27.65,17.68,7.82,67.91,543,25.6,21.7,9.9,17.9,24.9,32.7,3.4,50.6,10.4,2.9,67.3,48.7,51.3,73.7,26.3,36.3,0.1,8.6,0.2,35.9,5.4,0.4,8,5.1,25,38.5,3.3,32.8,558,5.7,15.4,53.2,25.6,116.2,3.1,267500,44700,39040
E01000007,1525,24.85,30.36,27.67,12.52,4.59,70.56,612,17.6,13.7,12.1,41.3,15.2,31.6,6.3,32.1,28,2,68.4,45.4,54.6,71.4,28.6,42.5,1,8,0.3,28.1,1.1,0.6,11.6,6.8,4.1,15.4,40.7,36.3,627,2.2,2.7,8.1,86.9,69.6,2.3,154500,38690,33760
E01000008,1595,34.04,23.32,25.45,14.67,2.51,63.45,521,19.4,10.6,22.8,24.8,22.5,31.4,5.4,22.6,37.2,3.4,68.6,47.8,52.2,73.1,26.9,44.5,0.1,2.3,0.1,33.9,1,0.1,13.1,4.9,4.6,12.3,66.6,15.2,534,1.3,2.1,5.6,91,79.1,3,165000,36930,32130
E01000009,1737,20.15,25.39,26.54,18.54,9.38,70.47,638,15,19.4,10,29.9,25.5,23.8,3.5,57.1,12.9,2.8,76.2,41.4,58.6,69.9,30.1,29,0.2,12.9,0.1,37.9,7.3,0.3,6.1,6.1,18.2,21.9,20.5,38.1,659,5.3,8.8,36.1,49.8,138.6,2.8,165000,41100,35930
E01000010,3199,24.66,28.76,33.82,10.07,2.69,72.65,1103,21,22.2,12.7,23.4,20.7,28.6,5.2,42.4,20.4,3.3,71.4,35.8,64.2,64.9,35.1,38.1,1,16.1,0.2,26.2,2.4,0.5,10.8,4.7,5.5,17,26.1,49.2,1179,2,2.7,9.2,86.1,80.7,2.6,169973,41380,36170
E01000011,1596,23.43,27.38,26.5,15.98,6.7,69.86,457,23,14,11.2,15.3,36.5,21.2,1.7,65.5,8.8,2.9,78.8,43,57,68.9,31.1,25.8,0.7,6.8,0.3,48.2,7.7,0.3,6.1,4.1,19,31.3,7.7,37.9,466,8.8,14.4,50.2,26.6,178.2,3.6,250000,40740,35610
E01000012,1937,32.73,21.42,30.61,11.56,3.67,63.6,698,24.6,12.2,20.9,23.6,18.6,28.1,6.2,35.5,27.9,2.3,71.9,42.5,57.5,67.6,32.4,41.5,0.4,5,0.3,35.8,2.6,0.3,8.2,6,7.2,22.5,22.1,47,730,4.2,9.6,16.2,69.9,136.8,2.7,214000,39510,34500
E01000013,1684,26.13,17.4,22.68,21.38,12.41,61.46,650,19.2,23.1,20.8,25.2,11.7,68.6,4,9.9,17.1,0.3,31.4,73.6,26.4,89.4,10.6,62.2,1.1,0.8,0.1,7.5,0.1,0.1,20.5,7.6,18,26.6,39.1,15.2,672,4.9,18.3,65.3,11.5,79.9,2.6,205000,38940,33990
E01000014,1645,25.71,19.51,20.61,22.74,11.43,62.86,638,21.6,23,17.7,28.2,9.4,75,4,4.9,15.1,1,25,76.2,23.8,88.7,11.3,59.8,1,0.2,0.2,4.7,0,0.6,26,7.4,17.7,28.8,37.6,15,645,2.9,15.8,66.7,14.4,48.5,2.5,215000,38470,33560
E01000015,2404,30.32,20.01,24.29,18.51,6.86,62.81,836,22.8,16.9,26,23.3,11,66.5,3.3,6.9,21.4,1.9,33.5,72.2,27.8,84.9,15.1,61.6,0.4,0.4,0,7,0.3,0.5,23.7,6.2,9.9,26.6,32.2,24.6,849,2.8,17.2,50.6,29.3,79.9,2.7,188500,38140,33260
E01000016,1683,26.38,17.47,21.69,23.23,11.23,62.39,626,20.4,23.2,18.5,28.1,9.7,70.5,3.2,7.1,18.1,1,29.5,80.1,19.9,93.1,6.9,58.5,0.3,0.2,0.5,6.3,0.5,0.2,26.8,6.8,15.2,33.4,36.1,14.2,638,4.7,15.7,72.1,7.5,82.3,2.6,219500,39530,34520
E01000017,1569,26.2,16.76,22.69,23.39,10.96,62.84,609,19.2,20,18.6,29.2,13,69.4,3.2,6.9,19.4,1.1,30.6,74.1,25.9,91,9,63.2,0.3,0.6,0.1,6.3,0,0.3,22.1,6.9,14.8,33.3,39.2,12,618,3.2,19.4,64.7,12.6,100.6,2.6,215500,38860,33910
E01000018,1722,27.35,17.65,23.81,21.31,9.87,62.78,612,21.2,19.6,22.5,25.8,10.8,71.6,3.2,7.3,17.5,0.4,28.4,77,23,91.2,8.8,63.9,0.1,1.6,0.4,4.8,0.8,0.1,23.4,5,14.1,35.3,38.2,10.9,623,4.5,23.1,67.9,4.5,91.9,2.6,220000,39560,34560
E01000019,1451,26.46,17.51,22.26,23.09,10.68,62.85,504,22,20.6,23.6,22.4,11.3,55.7,5,21.1,15.1,3.1,44.3,70.1,29.9,86.9,13.1,52.9,0.6,2.4,0.3,16.1,3.4,0.2,18.4,5.6,22.2,33.7,25,18.1,512,4.5,28.7,59.8,7,76.5,2.8,240000,39780,34750
E01000020,1947,26.04,17.82,23.57,20.7,11.86,62.1,650,25.5,16.6,16.9,29.4,11.5,65,3.8,11.3,18.7,1.1,35,74.3,25.7,87.4,12.6,60.5,0.2,2,0.5,9.6,1,0.4,17.8,8.1,14.8,35.7,31.8,14.5,663,4.2,25.9,52.8,17,98,2.7,230000,39950,34910
E01000021,1588,25.19,23.43,22.54,20.78,8.06,66.75,593,16.9,13.2,20.2,31.9,17.9,54.1,5.4,19.8,19.6,1.1,45.9,66.9,33.1,85.8,14.2,52.6,2.2,2.4,0.4,13,1.8,0.3,22.2,5.2,12.1,27.2,27.5,28.2,600,2.5,30.3,40.7,26.5,93.3,2.7,207000,37360,32540
E01000022,1373,28.04,19.01,23.38,22.21,7.36,64.6,474,24.1,18.8,23.6,21.7,11.8,63.5,5.3,11.1,19.4,0.7,36.5,73.7,26.3,88.2,11.8,60.4,0.6,1.6,0.4,8.3,1.1,0.1,20.7,6.8,17.5,33.1,25.9,15.4,481,4.8,35.8,55.3,4.2,102.4,2.8,219500,40270,35190
E01000023,1816,27.37,23.35,28.08,14.37,6.83,65.8,500,14.4,20,13.4,39.8,12.4,55.4,4.4,21.2,17.1,1.9,44.6,62.4,37.6,83.8,16.2,50.7,0.7,3.1,0.1,16.8,0.8,0.1,21.8,5.9,12.4,28.4,27.2,25.8,542,2.6,12.5,21.8,63.1,53.7,2.2,184498,40020,34970
E01000024,1382,28.87,18.96,23.59,20.19,8.39,62.74,456,21.5,20.2,22.1,21.5,14.7,55.9,4.3,16.2,21.5,2,44.1,70.9,29.1,86,14,56.7,0.7,0.4,0,16.1,1.7,0.2,18.2,5.8,18.2,35.1,28.7,16.4,462,4.8,28.8,61.9,4.5,103.9,2.9,218720,39540,34530
E01000025,1636,24.33,18.28,23.47,23.59,10.33,65.34,629,21.1,21.5,22.9,25.3,9.2,69.2,4.5,10.6,15.2,0.4,30.8,76.6,23.4,88.7,11.3,58.4,0.6,1.6,0.2,9.1,0.8,0.2,21.9,7.1,17.8,30.2,36.1,13.2,636,5,19.2,68.4,7.4,104.9,2.6,218000,39600,34580
